Artist 69/948 | Stage Name: Doyoung | Full Name: Kim Dong-young | Gender: Male | Birth Year: 1996-02-01 | Age: 30 | Birth Place: Guri, Gyeonggi, South Korea | Nationality: Korean | Occupation(s): Singer, actor, host | Years Active: 2015–present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
Artist 70/948 | Stage Name: DPR Ian | Full Name: Christian Yu | Gender: Male | Birth Year: 1990-09-06 | Age: 35 | Birth Place: Sydney, New South Wales, Australia | Nationality: Australian | Occupation(s): Singer, rapper, visual director | Years Active: 2012–present | Group: None | Genre: K-pop | 
Artist 71/948 | Stage Name: Eru (singer) | Full Name: Jo Seong-hyeon | Gender: Male | Birth Year: 1983-07-05 | Age: 42 | Birth Place: New York City, United States | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2005–present | Group: None | Genre: K-pop | 
Artist 72/948 | Stage Name: Eun Ji-won | Full Name: Eun Ji-won | Gender: Male | Birth Year: 1978-06-08 | Age: 47 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, actor, entertainer | Years Active: 1997–present | Group: Sechs Kies | Genre: K-pop, dance-pop, hip hop, R&B | 
Artist 73/948 | Stage Name: Eunhyuk | Full Name: Lee Hyuk-jae | Gender: Male | Birth Year: 1986-04-04 | Age: 39 | Birth Place: Incheon, South Korea | Nationality: South Korean | Occupation(s): Singer, songwriter, rapper, actor, dancer, choreographer, concert director, musical director | Years Active: 2005–present | Group: Super Junior | Genre: K-pop, dance-pop, electropop, R&B, hip hop | 
Artist 74/948 | Stage Name: Felix (rapper) | Full Name: Felix Yongbok Lee | Gender: Male | Birth Year: 2000-09-15 | Age: 25 | Birth Place: Sydney, Australia | Nationality: Korean | Occupation(s): Rapper, singer | Years Active: 2017–present | Group: Stray Kids | Genre: K-pop, hip-hop, electronic | 
Artist 75/948 | Stage Name: G-Dragon | Full Name: Kwon Ji-yong | Gender: Male | Birth Year: 1988-08-18 | Age: 37 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, record producer, entrepreneur, fashion designer, professor | Years Active: 1994–present | Group: BigBang | Genre: K-pop, J-pop, hip hop, dance, electronic, R&B | 
Artist 76/948 | Stage Name: G.O (singer) | Full Name: Jung Byung-hee | Gender: Male | Birth Year: 1987-11-06 | Age: 38 | Birth Place: Changwon, South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, actor | Years Active: 2007–2019 | Group: MBLAQ | Genre: K-pop, EDM, R&B | 
Artist 77/948 | Stage Name: G.Soul | Full Name: Kim Ji-hyun | Gender: Male | Birth Year: 1988-06-16 | Age: 37 | Birth Place: Unknown | Nationality: Korean | Occupation(s):  | Years Active: 2015–present | Group: None | Genre: K-pop | 
Artist 78/948 | Stage Name: Gaeko | Full Name: Kim Yoon-sung | Gender: Male | Birth Year: 1981-01-14 | Age: 45 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer | Years Active: 1999–present | Group: Dynamic Duo | Genre: Hip hop | 
Artist 79/948 | Stage Name: Gaho | Full Name: Kang Dae-ho | Gender: Male | Birth Year: 1997-09-14 | Age: 28 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, producer | Years Active: 2018–present | Group: None | Genre: K-pop | 
Artist 80/948 | Stage Name: Gary (rapper) | Full Name: Kang Hee-gun | Gender: Male | Birth Year: 1978-02-24 | Age: 48 | Birth Place: South Korea | Nationality: Korean | Occupation(s): Rapper, songwriter, entrepreneur, record producer, television personality | Years Active: 1996–2022 | Group: None | Genre: K-pop | 
Artist 81/948 | Stage Name: Gill (musician) | Full Name: Gil Seong-joon | Gender: Male | Birth Year: 1977-12-24 | Age: 48 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 1997–present | Group: None | Genre: Hip hop, jazz rap | 
Artist 82/948 | Stage Name: Giuk | Full Name: Lee Giuk | Gender: Male | Birth Year: 2000-01-24 | Age: 26 | Birth Place: Suwon, Gyeonggi-do, South Korea | Nationality: Korean | Occupation(s): Musician, rapper, songwriter, producer | Years Active: 2015–present | Group: Onewe | Genre: Alternative rock, ballad, Korean rock, K-pop, R&B, dance, jazz | 
Artist 83/948 | Stage Name: Gong Myung | Full Name: Kim Dong-hyun | Gender: Male | Birth Year: 1994-05-26 | Age: 31 | Birth Place: Guri, South Korea | Nationality: Korean | Occupation(s): Actor, singer | Years Active: 2013–present | Group: None | Genre: K-pop | 
Artist 84/948 | Stage Name: Gongchan | Full Name: Gong Chan-sik | Gender: Male | Birth Year: 1993-08-14 | Age: 32 | Birth Place: Suncheon, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2011–present | Group: B1A4 | Genre: K-pop | 
Artist 85/948 | Stage Name: H-Eugene | Full Name: Heo Yujin | Gender: Male | Birth Year: 1979-04-06 | Age: 46 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): rapper, singer | Years Active: 2006-present | Group: Brown Eyed Girls | Genre: K-pop, R&B, dance-pop | 
Artist 86/948 | Stage Name: Ha Dong-kyun | Full Name: Ha Dong-kyun | Gender: Male | Birth Year: 1980-06-28 | Age: 45 | Birth Place: South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2002–present | Group: Wanted | Genre: K-Pop, R&B | 
Artist 87/948 | Stage Name: Ha Hyun-sang | Full Name: Ha Hyun-sang | Gender: Male | Birth Year: 1998-09-14 | Age: 27 | Birth Place: Seodaemun District, Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2018  –present | Group: Hoppipolla | Genre: Rock, Ballad | 
Artist 88/948 | Stage Name: Ha Sebin | Full Name: Ha Sebin | Gender: Male | Birth Year: 1983-01-10 | Age: 43 | Birth Place: South Korea | Nationality: Korean | Occupation(s):  | Years Active: Not found | Group: Nemesis | Genre: Rock | 
Artist 89/948 | Stage Name: Ha Sung-woon | Full Name: Ha Sung-woon | Gender: Male | Birth Year: 1994-03-22 | Age: 31 | Birth Place: Goyang, Gyeonggi Province, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2014–present | Group: None | Genre: K-pop | 
Artist 90/948 | Stage Name: Haechan | Full Name: Lee Dong-hyeok | Gender: Male | Birth Year: 2000-06-06 | Age: 25 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2014–present | Group: NCT | Genre: K-pop, C-pop, J-pop, Hip hop, R&B, EDM | 
